numero de maquinas,prob. de falha,tempo de reparo,maquinas suplentes,tempo obtido
10,0.001,10,0.1,3298.7
10,0.001,10,0.2,3015.1
10,0.001,10,0.25,2421.4
10,0.001,10,0.5,2894.9
10,0.001,25,0.1,3082.4
10,0.001,25,0.2,2892.2
10,0.001,25,0.25,2786.6
10,0.001,25,0.5,3565.7
10,0.001,50,0.1,3391.9
10,0.001,50,0.2,3053.0
10,0.001,50,0.25,3539.4
10,0.001,50,0.5,3399.3
10,0.001,75,0.1,2965.1
10,0.001,75,0.2,3486.4
10,0.001,75,0.25,3501.2
10,0.001,75,0.5,3375.5
10,0.001,100,0.1,2773.4
10,0.001,100,0.2,2889.5
10,0.001,100,0.25,2595.5
10,0.001,100,0.5,3124.0
10,0.0025,10,0.1,1501.9
10,0.0025,10,0.2,1292.1
10,0.0025,10,0.25,1171.1
10,0.0025,10,0.5,1592.1
10,0.0025,25,0.1,1102.6
10,0.0025,25,0.2,1604.3
10,0.0025,25,0.25,1203.3
10,0.0025,25,0.5,1197.1
10,0.0025,50,0.1,1430.3
10,0.0025,50,0.2,1160.5
10,0.0025,50,0.25,1270.4
10,0.0025,50,0.5,1140.7
10,0.0025,75,0.1,1106.6
10,0.0025,75,0.2,1111.2
10,0.0025,75,0.25,1368.3
10,0.0025,75,0.5,1446.4
10,0.0025,100,0.1,1392.7
10,0.0025,100,0.2,1275.2
10,0.0025,100,0.25,1391.0
10,0.0025,100,0.5,1368.3
10,0.005,10,0.1,775.1
10,0.005,10,0.2,654.1
10,0.005,10,0.25,621.3
10,0.005,10,0.5,690.5
10,0.005,25,0.1,636.8
10,0.005,25,0.2,724.4
10,0.005,25,0.25,642.3
10,0.005,25,0.5,574.8
10,0.005,50,0.1,636.7
10,0.005,50,0.2,613.2
10,0.005,50,0.25,450.2
10,0.005,50,0.5,678.8
10,0.005,75,0.1,703.6
10,0.005,75,0.2,611.9
10,0.005,75,0.25,596.1
10,0.005,75,0.5,753.4
10,0.005,100,0.1,505.1
10,0.005,100,0.2,590.0
10,0.005,100,0.25,654.1
10,0.005,100,0.5,639.4
10,0.0075,10,0.1,344.4
10,0.0075,10,0.2,445.6
10,0.0075,10,0.25,340.5
10,0.0075,10,0.5,456.7
10,0.0075,25,0.1,436.3
10,0.0075,25,0.2,369.1
10,0.0075,25,0.25,369.8
10,0.0075,25,0.5,375.1
10,0.0075,50,0.1,456.6
10,0.0075,50,0.2,438.4
10,0.0075,50,0.25,370.8
10,0.0075,50,0.5,508.8
10,0.0075,75,0.1,438.7
10,0.0075,75,0.2,474.0
10,0.0075,75,0.25,468.6
10,0.0075,75,0.5,401.0
10,0.0075,100,0.1,480.5
10,0.0075,100,0.2,470.1
10,0.0075,100,0.25,291.3
10,0.0075,100,0.5,367.7
10,0.01,10,0.1,353.7
10,0.01,10,0.2,317.8
10,0.01,10,0.25,313.2
10,0.01,10,0.5,303.0
10,0.01,25,0.1,295.7
10,0.01,25,0.2,324.8
10,0.01,25,0.25,261.4
10,0.01,25,0.5,393.5
10,0.01,50,0.1,356.7
10,0.01,50,0.2,273.0
10,0.01,50,0.25,309.1
10,0.01,50,0.5,321.6
10,0.01,75,0.1,341.6
10,0.01,75,0.2,228.5
10,0.01,75,0.25,299.2
10,0.01,75,0.5,340.9
10,0.01,100,0.1,328.6
10,0.01,100,0.2,305.1
10,0.01,100,0.25,245.9
10,0.01,100,0.5,325.5
